Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
BACW_57_2	(1.0, 72.14552975037797)	(2.0, 15.708071224385318)	(3.0, 3.969611211116958)	(4.0, 1.1789075060573997)	(5.0, 0.5067951152525946)	(6.0, 0.33029587109236613)	(7.0, 0.24453873971945622)	(8.0, 0.19667729972921064)	(9.0, 0.17375754667402052)	('>10', 2.406702269333509)	('>50', 0.9451521852615247)	('>100', 1.5578224795656705)	('>500', 0.30962029986845924)	('>1k', 0.22302105374928188)	('>5k', 0.02356739688539682)	('>10k+', 0.07993005093091471)
BACW_57_2_val_2	(1.0, 72.96335739611439)	(2.0, 15.250966766238278)	(3.0, 3.8445750365570186)	(4.0, 1.1336146347916047)	(5.0, 0.4776906716534539)	(6.0, 0.3431436359403375)	(7.0, 0.24345213242386154)	(8.0, 0.1856277679374457)	(9.0, 0.17069953648346986)	('>10', 2.2967890701528213)	('>50', 0.9083111158764244)	('>100', 1.4980963571556956)	('>500', 0.3424430025072179)	('>1k', 0.193639931013078)	('>5k', 0.02363147076607392)	('>10k+', 0.12396147438864721)
BACW_58_1	(1.0, 69.96435127799872)	(2.0, 17.115084477030052)	(3.0, 4.691044270918788)	(4.0, 1.4180149544103096)	(5.0, 0.5379913795118897)	(6.0, 0.3244663950022688)	(7.0, 0.2626285369930972)	(8.0, 0.1917728799193732)	(9.0, 0.14985699117891366)	('>10', 2.217637980601581)	('>50', 0.9193806157652931)	('>100', 1.6109071496794358)	('>500', 0.3368598515103385)	('>1k', 0.19599303796743278)	('>5k', 0.013583162358204982)	('>10k+', 0.05042703915453902)
BACW_58_1_val_1	(1.0, 69.75135455314532)	(2.0, 17.233169673564916)	(3.0, 4.750187651331035)	(4.0, 1.4068261412227)	(5.0, 0.5758336819026383)	(6.0, 0.3533657388526751)	(7.0, 0.27756576050199944)	(8.0, 0.17476684893477726)	(9.0, 0.14184343991734272)	('>10', 2.1783290706423775)	('>50', 0.9364601006596893)	('>100', 1.6591950651062475)	('>500', 0.28543431507812206)	('>1k', 0.19297949577074425)	('>5k', 0.017818159294065716)	('>10k+', 0.06487030407555121)
BACW_58_2	(1.0, 69.97599514790478)	(2.0, 16.840696829256842)	(3.0, 4.592613644479281)	(4.0, 1.3915677212686641)	(5.0, 0.5597483909084014)	(6.0, 0.324349475291588)	(7.0, 0.25654455447523455)	(8.0, 0.2126714105385437)	(9.0, 0.18176100664419043)	('>10', 2.539466825522137)	('>50', 0.9810189655033483)	('>100', 1.5151068351781922)	('>500', 0.3230148841219533)	('>1k', 0.20910538403076864)	('>5k', 0.018841088121564896)	('>10k+', 0.07749783675435906)
BACW_58_2_val_2	(1.0, 70.6903712968084)	(2.0, 16.56162588157799)	(3.0, 4.459117102347614)	(4.0, 1.2902797387349034)	(5.0, 0.5445551355887179)	(6.0, 0.3142384875139575)	(7.0, 0.23149222319247836)	(8.0, 0.18862958809394614)	(9.0, 0.18667630775087582)	('>10', 2.5082990934780085)	('>50', 0.905435080410512)	('>100', 1.4502128810845172)	('>500', 0.3099169860044177)	('>1k', 0.21735899002185283)	('>5k', 0.018023831277059865)	('>10k+', 0.1237673761149259)
BACW_59_1	(1.0, 69.07539622571603)	(2.0, 17.672950213514138)	(3.0, 5.020017089101884)	(4.0, 1.5433876431143654)	(5.0, 0.5807833012941309)	(6.0, 0.3483557519490322)	(7.0, 0.2615804388686094)	(8.0, 0.21670558875676083)	(9.0, 0.17080983955585127)	('>10', 2.199841323477288)	('>50', 0.7861159166837023)	('>100', 1.436858559670744)	('>500', 0.3803380917612095)	('>1k', 0.25217803172920433)	('>5k', 0.0)	('>10k+', 0.05468198480701286)
BACW_59_1_val_1	(1.0, 68.78860243361859)	(2.0, 17.865860711836778)	(3.0, 5.012046203402405)	(4.0, 1.5969471658672452)	(5.0, 0.6096029388175359)	(6.0, 0.3742344178357074)	(7.0, 0.23457781099587538)	(8.0, 0.18970521397405937)	(9.0, 0.178766150504039)	('>10', 2.1975218413844235)	('>50', 0.8084940446640703)	('>100', 1.4760900759385092)	('>500', 0.36254119232352544)	('>1k', 0.2217137922490285)	('>5k', 0.005511557994011984)	('>10k+', 0.07778444859398365)
BACW_59_2	(1.0, 69.61429122789598)	(2.0, 17.258275644927785)	(3.0, 4.798076247860097)	(4.0, 1.4075543018994945)	(5.0, 0.6056659845549279)	(6.0, 0.3263612471628681)	(7.0, 0.2705368647156344)	(8.0, 0.2017041588557084)	(9.0, 0.16879380409985018)	('>10', 2.3196202881649803)	('>50', 0.8406591229759163)	('>100', 1.5846703824700634)	('>500', 0.32160979995285843)	('>1k', 0.19202624988103992)	('>5k', 0.010089505910547174)	('>10k+', 0.08006516867225266)
BACW_59_2_val_2	(1.0, 70.5559291719666)	(2.0, 16.697805590711198)	(3.0, 4.652319398546562)	(4.0, 1.3713035642625584)	(5.0, 0.584567453964527)	(6.0, 0.32727811167592225)	(7.0, 0.24052833875936003)	(8.0, 0.1707070287003929)	(9.0, 0.16875166723633592)	('>10', 2.303064402588101)	('>50', 0.8325190267288465)	('>100', 1.4667162032120054)	('>500', 0.3123599255415258)	('>1k', 0.18708861638596372)	('>5k', 0.012079973179462007)	('>10k+', 0.11698152654042561)
BACW_64_1	(1.0, 63.97160085180352)	(2.0, 20.91133520120518)	(3.0, 6.320417655001001)	(4.0, 1.8943571959475647)	(5.0, 0.676851344414046)	(6.0, 0.3954182581245966)	(7.0, 0.2347076895705999)	(8.0, 0.22277283673171216)	(9.0, 0.15887384451371991)	('>10', 2.1837457801449247)	('>50', 0.9030967731146)	('>100', 1.5839179152787901)	('>500', 0.305941375057452)	('>1k', 0.1859394219207628)	('>5k', 0.0026175582648031884)	('>10k+', 0.048406298906615235)
